iter	MAE
127	5.071328808
128	5.060011257
129	5.053079263
130	5.045119995
131	5.040915857
132	5.031252114
133	5.024241315
134	5.014736826
135	5.007293902
136	4.992708532
137	4.984099967
138	4.973713437
139	4.965269715
140	4.959126532
141	4.946709943
142	4.938912432
143	4.925464438
144	4.920666674
145	4.909666667
146	4.90237231
147	4.890655101
148	4.884997784
149	4.878890264
150	4.870238777
151	4.859323425
152	4.850134358
153	4.845438526
154	4.838704228
155	4.827251661
156	4.822860681
157	4.81803617
158	4.810765649
159	4.801227876
160	4.794785412
161	4.788872012
162	4.779183255
163	4.772707045
164	4.765181427
165	4.758112631
166	4.751340377
167	4.746650738
168	4.736806005
169	4.727233427
170	4.723619098
171	4.716489225
172	4.707133003
173	4.695635888
174	4.686326144
175	4.677614787
176	4.671502954
177	4.668250491
178	4.659196163
179	4.655013845
180	4.650819795
181	4.64273371
182	4.633913506
183	4.627509009
184	4.622135661
185	4.616917594
186	4.609371257
187	4.602136162
188	4.595898773
189	4.588881451
190	4.579046833
191	4.573492142
192	4.567213346
193	4.555452214
194	4.548381157
195	4.538948857
196	4.532065591
197	4.524261988
198	4.518633663
199	4.512328756
200	4.5070675
201	4.497968402
202	4.48783321
203	4.480856762
204	4.472388987
205	4.465389558
206	4.456028933
207	4.450208912
208	4.441403685
209	4.433593164
210	4.424049722
211	4.413321251
212	4.407285702
213	4.399377078
214	4.391888262
215	4.385787163
216	4.381037528
217	4.374768535
218	4.369119367
219	4.364988996
220	4.354204856
221	4.349278652
222	4.346411571
223	4.341911325
224	4.338789404
225	4.331465499
226	4.325505801
227	4.31935787
228	4.311885969
229	4.30712946
230	4.301526383
231	4.298700263
232	4.295315672
233	4.288457318
234	4.2809419
235	4.275709741
236	4.270556598
237	4.266441793
238	4.25904065
239	4.254790957
240	4.246896292
241	4.243584155
242	4.239676486
243	4.230066383
244	4.224840114
245	4.220499464
246	4.218405566
247	4.211945741
248	4.208568844
249	4.200523161
250	4.19170838
251	4.187958505
252	4.181092138
253	4.173030628
254	4.171340338
255	4.166941416
256	4.163716329
257	4.160128977
258	4.154488685
259	4.151731078
260	4.146384284
261	4.141437622
262	4.137382384
263	4.132197518
264	4.126173112
265	4.118723608
266	4.114920439
267	4.110312578
268	4.106755765
269	4.10348575
270	4.097537684
271	4.086977675
272	4.079186044
273	4.074955699
274	4.071681969
275	4.065525098
276	4.061611759
277	4.055271562
278	4.052666335
279	4.044860162
280	4.040923738
281	4.032819891
282	4.029053488
283	4.026031089
284	4.019991911
285	4.014591361
286	4.01177096
287	4.00805793
288	4.005520568
289	4.003289274
290	3.999704534
291	3.994515601
292	3.991395505
293	3.988138328
294	3.985717505
295	3.983567016
296	3.98001798
297	3.97171065
298	3.969030367
299	3.965381689
300	3.9640754
301	3.96267561
302	3.957609179
303	3.954382139
304	3.950208773
305	3.946404195
306	3.94161796
307	3.9367018
308	3.932641864
309	3.926633614
310	3.923083471
311	3.920997167
312	3.915983454
313	3.912241512
314	3.906893249
315	3.904533757
316	3.900098675
317	3.894125109
318	3.890784736
319	3.888432622
320	3.886345139
321	3.884053845
322	3.880154115
323	3.877331785
324	3.874195682
325	3.868832996
326	3.86656696
327	3.863749187
328	3.859863091
329	3.856719224
330	3.852062787
331	3.84645669
332	3.84407195
333	3.842253507
334	3.83828855
335	3.834021825
336	3.82789021
337	3.822984409
338	3.821481651
339	3.819573752
340	3.813939458
341	3.809325777
342	3.804069199
343	3.801607999
344	3.798471246
345	3.792672828
346	3.787493851
347	3.783257862
348	3.781846824
349	3.778084
350	3.775683925
351	3.770655125
352	3.769679229
353	3.76665072
354	3.76454075
355	3.759519542
356	3.756658298
357	3.752683995
358	3.750479855
359	3.745714125
360	3.741370974
361	3.736512781
362	3.731876719
363	3.730083399
364	3.726918433
365	3.723855394
366	3.721672021
367	3.718462766
368	3.715393897
369	3.711894134
370	3.709231266
371	3.707219556
372	3.701012821
373	3.69834389
374	3.693626001
375	3.690222122
376	3.686853851
377	3.684804102
378	3.683067806
379	3.679803844
380	3.676593693
381	3.672974891
382	3.672331431
383	3.670507137
384	3.666012547
385	3.66365749
386	3.660664127
387	3.656510708
388	3.652849289
389	3.651593084
390	3.648623203
391	3.643991673
392	3.637725383
393	3.633904787
394	3.631424944
395	3.629394131
396	3.625147187
397	3.624702164
398	3.621688781
399	3.620777272
400	3.617253017
401	3.61641028
402	3.614729479
403	3.608978689
404	3.607689451
405	3.605774231
406	3.604523207
407	3.602776575
408	3.601122037
409	3.599711556
410	3.59721044
411	3.59423241
412	3.589144805
413	3.587200933
414	3.586109859
415	3.580936921
416	3.577514294
417	3.574108084
418	3.570781422
419	3.565014528
420	3.56192235
421	3.561158437
422	3.555233869
423	3.550896129
424	3.546567736
425	3.54113096
426	3.539242765
427	3.536234216
428	3.532005851
429	3.526094114
430	3.524145339
431	3.522315322
432	3.516542035
433	3.514265521
434	3.51192523
435	3.508934117
436	3.506929532
437	3.505018901
438	3.503250705
439	3.501162919
440	3.499907887
441	3.497641297
442	3.495166758
443	3.492815517
444	3.490588838
445	3.488358343
446	3.486898279
447	3.48557983
448	3.484149819
449	3.480242465
450	3.478098872
451	3.475799698
452	3.472176727
453	3.470575272
454	3.469079677
455	3.467131256
456	3.464627007
457	3.460430928
458	3.458802782
459	3.455724475
460	3.452420236
461	3.448808142
462	3.446886323
463	3.44126544
464	3.438244434
465	3.433306649
466	3.431984845
467	3.430017472
468	3.42670672
469	3.421948914
470	3.420050677
471	3.416786728
472	3.410839594
473	3.409377855
474	3.408961276
475	3.403583735
476	3.401296264
477	3.40050526
478	3.396914823
479	3.394243185
480	3.386846123
481	3.383970821
482	3.381038365
483	3.380567563
484	3.377953467
485	3.375004187
486	3.371664699
487	3.371117323
488	3.368551042
489	3.367146349
490	3.366284224
491	3.363620062
492	3.362548664
493	3.355652062
494	3.351596964
495	3.349722407
496	3.347232386
497	3.344872311
498	3.33932496
499	3.336666361
500	3.333156803
501	3.331505373
502	3.330437246
503	3.326328494
504	3.324187911
505	3.322394133
506	3.321357322
507	3.31839725
508	3.316748584
509	3.312633189
510	3.308588195
511	3.305451657
512	3.304333832
513	3.302516352
514	3.301122772
515	3.296606058
516	3.293611371
517	3.292206521
518	3.290399415
519	3.288856582
520	3.284600334
521	3.282386529
522	3.282175513
523	3.281660946
524	3.280385706
525	3.279674644
526	3.278067145
527	3.277213018
528	3.275136676
529	3.271123355
530	3.267664389
531	3.265441537
532	3.262085547
533	3.261486932
534	3.257426343
535	3.253063213
536	3.2501331
537	3.247778119
538	3.244894885
539	3.244499252
540	3.243393109
541	3.242643344
542	3.238713284
543	3.235440823
544	3.231535199
545	3.230047477
546	3.229438732
547	3.226381857
548	3.225242268
549	3.221647597
550	3.220241369
551	3.219552553
552	3.216072643
553	3.210034933
554	3.209624624
555	3.208118571
556	3.206539879
557	3.205862712
558	3.205067181
559	3.203847804
560	3.203021071
561	3.200771923
562	3.199280619
563	3.197626674
564	3.19595694
565	3.193199656
566	3.192667132
567	3.191116434
568	3.18982256
569	3.18789355
570	3.18637631
571	3.183739401
572	3.181883126
573	3.181180865
574	3.180543782
575	3.180015854
576	3.175176414
577	3.174163637
578	3.173660913
579	3.172216363
580	3.171133805
581	3.167968563
582	3.166756855
583	3.165931204
584	3.165228002
585	3.16239807
586	3.160528721
587	3.157049346
588	3.156565018
589	3.153257292
590	3.150886284
591	3.147960883
592	3.146755117
593	3.145324768
594	3.14199726
595	3.139884843
596	3.138677481
597	3.137448235
598	3.1369194
599	3.136536843
600	3.135435191
601	3.135189621
602	3.134775429
603	3.133116773
604	3.131225325
605	3.129427384
606	3.128297604
607	3.127101675
608	3.125791949
609	3.123678708
610	3.12065576
611	3.116151431
612	3.115344923
613	3.114935912
614	3.113730675
615	3.112119811
616	3.111398877
617	3.108749343
618	3.105498314
619	3.104155312
620	3.103107945
621	3.102148233
622	3.098524535
623	3.097234059
624	3.09636271
625	3.093234079
626	3.092659105
627	3.091725423
628	3.091245119
629	3.090498133
630	3.089317257
631	3.086409582
632	3.085557006
633	3.084616651
634	3.083264871
635	3.082677556
636	3.081887737
637	3.079970976
638	3.078001603
639	3.076616462
640	3.074684191
641	3.073658135
642	3.070694583
643	3.070048962
644	3.069698975
645	3.068533215
646	3.068302407
647	3.067694964
648	3.066362982
649	3.064940438
650	3.0642197
651	3.063077723
652	3.060489161
653	3.059670096
654	3.059450745
655	3.058214117
656	3.057157458
657	3.055455622
658	3.055295655
659	3.054774549
660	3.053654094
661	3.052006709
662	3.050609833
663	3.049530724
664	3.04787091
665	3.046184533
666	3.045333727
667	3.040952203
668	3.03991991
669	3.039086819
670	3.038925948
671	3.0380874
672	3.03683733
673	3.036029178
674	3.034586784
675	3.033009859
676	3.031603404
677	3.031230849
678	3.029610931
679	3.028612923
680	3.027351607
681	3.024628098
682	3.02413498
683	3.02161517
684	3.020585789
685	3.018048065
686	3.016620045
687	3.016141675
688	3.014325256
689	3.013395072
690	3.010028024
691	3.009061496
692	3.006903613
693	3.006414884
694	3.004737326
695	3.003389895
696	3.000666707
697	2.999811426
698	2.999531868
699	2.99760566
700	2.995734109
701	2.993521146
702	2.992492482
703	2.990694727
704	2.988803356
705	2.987272169
706	2.987059103
707	2.98387335
708	2.982682503
709	2.982292084
710	2.981238894
711	2.980359351
712	2.979280582
713	2.978861076
714	2.976466314
715	2.975928816
716	2.97542345
717	2.972882069
718	2.972587031
719	2.969757667
720	2.968934563
721	2.967773367
722	2.965307699
723	2.963264481
724	2.960145736
725	2.959083493
726	2.957442697
727	2.95551352
728	2.953378875
729	2.952148212
730	2.950940029
731	2.949448691
732	2.948406908
733	2.946678273
734	2.945846477
735	2.945240352
736	2.944771922
737	2.944192461
738	2.943291491
739	2.942369408
740	2.939050323
741	2.937104165
742	2.936604521
743	2.936378019
744	2.934642895
745	2.933545295
746	2.932357742
747	2.930402651
748	2.930257006
749	2.926450727
750	2.92528896
751	2.924132086
752	2.923364607
753	2.922688175
754	2.922079101
755	2.920657589
756	2.919944749
757	2.918515398
758	2.91766813
759	2.916019091
760	2.915503029
761	2.913451723
762	2.912665815
763	2.911275969
764	2.910267432
765	2.909846142
766	2.908979359
767	2.90854519
768	2.907572388
769	2.907111047
770	2.903644296
771	2.90324422
772	2.902572909
773	2.902150109
774	2.90151038
775	2.900214127
776	2.899778618
777	2.899390233
778	2.89920741
779	2.897289102
780	2.895441136
781	2.893999383
782	2.893368097
783	2.8921781
784	2.889205062
785	2.886644046
786	2.885593827
787	2.883051399
788	2.881645984
789	2.87941391
790	2.878112092
791	2.875777464
792	2.875494366
793	2.875125549
794	2.874606068
795	2.874248009
796	2.870740961
797	2.868042578
798	2.864452665
799	2.863456844
800	2.86055307
801	2.859602477
802	2.8584509
803	2.857203676
804	2.855690778
805	2.854251943
806	2.85311781
807	2.851844129
808	2.850857787
809	2.849605354
810	2.849333965
811	2.847709035
812	2.846043648
813	2.844156676
814	2.843934952
815	2.842119251
816	2.840664016
817	2.839022853
818	2.835488987
819	2.833455243
820	2.833157801
821	2.832214521
822	2.831151108
823	2.829828378
824	2.82635256
825	2.825608888
826	2.824994559
827	2.824756667
828	2.823693039
829	2.821866238
830	2.818817991
831	2.818541788
832	2.817052196
833	2.814797358
834	2.814639405
835	2.814342406
836	2.813557852
837	2.813389908
838	2.812261146
839	2.811866971
840	2.808514071
841	2.808222569
842	2.807034228
843	2.806800874
844	2.805754163
845	2.805359694
846	2.804275366
847	2.803339091
848	2.802514106
849	2.801352952
850	2.801116572
851	2.800724858
852	2.800147887
853	2.799919436
854	2.799624714
855	2.798522402
856	2.79665203
857	2.796022463
858	2.795346016
859	2.795090825
860	2.791306325
861	2.790490722
862	2.788291374
863	2.787299985
864	2.786469461
865	2.786383588
866	2.785006258
867	2.783655566
868	2.78298232
869	2.78240802
870	2.782234031
871	2.782091866
872	2.781945411
873	2.781164447
874	2.780965092
875	2.78029803
876	2.779972373
877	2.778551116
878	2.778183187
879	2.777671559
880	2.775084807
881	2.772835532
882	2.772570404
883	2.771868359
884	2.771569231
885	2.770797683
886	2.769510241
887	2.768490646
888	2.768163983
889	2.767820969
890	2.766512608
891	2.766135472
892	2.764498129
893	2.763430248
894	2.761446345
895	2.761326646
896	2.760904272
897	2.760774461
898	2.760192389
899	2.758002306
900	2.757579342
901	2.757196086
902	2.75640446
903	2.755747651
904	2.755109445
905	2.752773649
906	2.751312078
907	2.750833549
908	2.749907321
909	2.749019704
910	2.748586254
911	2.747893334
912	2.746672143
913	2.746155017
914	2.744644055
915	2.743867625
916	2.743579919
917	2.742847814
918	2.74190502
919	2.741170159
920	2.740124853
921	2.739141223
922	2.738038916
923	2.737390895
924	2.736414832
925	2.735892515
926	2.734989154
927	2.733714564
928	2.732808233
929	2.732133981
930	2.731794496
931	2.731115019
932	2.730249613
933	2.728864008
934	2.728423572
935	2.727462337
936	2.727171134
937	2.726042978
938	2.725356042
939	2.724502603
940	2.723389832
941	2.722970696
942	2.72241734
943	2.719845229
944	2.71948693
945	2.71833661
946	2.717094348
947	2.71649402
948	2.716097843
949	2.714707216
950	2.714285164
951	2.714135692
952	2.712519721
953	2.711790521
954	2.711417423
955	2.711069786
956	2.708229967
957	2.707854522
958	2.706942641
959	2.706469689
960	2.705499645
961	2.704682156
962	2.703911105
963	2.703584519
964	2.7030395
965	2.702751956
966	2.702144768
967	2.702038334
968	2.70156775
969	2.700809108
970	2.700735884
971	2.70055956
972	2.700118019
973	2.698502607
974	2.697847341
975	2.697379211
976	2.696059355
977	2.694933915
978	2.694630279
979	2.693620107
980	2.692460201
981	2.692212046
982	2.69167416
983	2.690223627
984	2.689673431
985	2.686055301
986	2.685683264
987	2.685319914
988	2.684074081
989	2.683101922
990	2.682122871
991	2.682042989
992	2.681132609
993	2.680543867
994	2.679832503
995	2.679516442
996	2.678721208
997	2.678513132
998	2.677319611
999	2.676872497
