iter	Passed	Remaining
423	1889	2567
424	1894	2562
425	1898	2557
426	1902	2552
427	1907	2548
428	1911	2543
429	1914	2538
430	1918	2532
431	1922	2527
432	1925	2521
433	1929	2516
434	1932	2510
435	1936	2505
436	1940	2499
437	1943	2493
438	1946	2488
439	1950	2482
440	1954	2477
441	1957	2471
442	1961	2466
443	1965	2461
444	1970	2457
445	1974	2452
446	1978	2447
447	1981	2441
448	1985	2436
449	1989	2431
450	1993	2426
451	1997	2422
452	2003	2418
453	2006	2413
454	2010	2407
455	2013	2402
456	2017	2397
457	2021	2392
458	2025	2387
459	2029	2382
460	2034	2378
461	2038	2373
462	2042	2368
463	2046	2364
464	2051	2360
465	2055	2355
466	2058	2349
467	2061	2343
468	2066	2339
469	2070	2334
470	2074	2329
471	2077	2323
472	2081	2319
473	2085	2314
474	2088	2308
475	2092	2303
476	2095	2297
477	2100	2293
478	2103	2288
479	2107	2282
480	2110	2277
481	2114	2272
482	2118	2267
483	2121	2261
484	2125	2256
485	2128	2251
486	2132	2246
487	2135	2240
488	2139	2235
489	2142	2230
490	2146	2225
491	2150	2220
492	2153	2214
493	2156	2209
494	2160	2204
495	2164	2199
496	2168	2194
497	2171	2188
498	2174	2183
499	2179	2179
500	2182	2174
501	2186	2168
502	2191	2165
503	2196	2161
504	2200	2157
505	2204	2151
506	2207	2146
507	2211	2142
508	2215	2137
509	2219	2132
510	2223	2127
511	2227	2123
512	2231	2118
513	2234	2112
514	2237	2107
515	2241	2102
516	2245	2097
517	2249	2092
518	2252	2087
519	2255	2082
520	2259	2077
521	2263	2072
522	2266	2067
523	2270	2062
524	2274	2057
525	2277	2052
526	2281	2047
527	2284	2042
528	2287	2037
529	2292	2032
530	2296	2027
531	2299	2022
532	2302	2017
533	2306	2013
534	2310	2008
535	2313	2003
536	2317	1997
537	2320	1992
538	2325	1989
539	2328	1983
540	2332	1978
541	2335	1973
542	2340	1969
543	2343	1964
544	2347	1959
545	2350	1954
546	2353	1949
547	2357	1944
548	2361	1939
549	2364	1934
550	2368	1929
551	2372	1925
552	2375	1920
553	2379	1915
554	2382	1910
555	2386	1905
556	2390	1901
557	2393	1895
558	2396	1890
559	2401	1886
560	2406	1883
561	2410	1878
562	2414	1874
563	2418	1869
564	2422	1865
565	2426	1860
566	2429	1855
567	2432	1850
568	2437	1846
569	2440	1841
570	2444	1836
571	2447	1831
572	2450	1826
573	2454	1821
574	2457	1816
575	2461	1811
576	2464	1806
577	2468	1802
578	2472	1797
579	2475	1792
580	2479	1787
581	2482	1782
582	2486	1778
583	2489	1773
584	2493	1769
585	2497	1764
586	2501	1759
587	2504	1755
588	2508	1750
589	2511	1745
590	2515	1740
591	2519	1736
592	2522	1731
593	2526	1726
594	2529	1721
595	2533	1717
596	2537	1713
597	2541	1708
598	2544	1703
599	2548	1698
600	2552	1694
601	2555	1689
602	2558	1684
603	2562	1679
604	2566	1675
605	2569	1670
606	2573	1666
607	2576	1661
608	2580	1656
609	2584	1652
610	2587	1647
611	2591	1642
612	2594	1637
613	2598	1633
614	2602	1629
615	2607	1625
616	2611	1621
617	2616	1617
618	2619	1612
619	2623	1607
620	2626	1603
621	2631	1599
622	2635	1594
623	2638	1589
624	2641	1585
625	2646	1580
626	2649	1576
627	2653	1571
628	2656	1566
629	2660	1562
630	2664	1558
631	2668	1553
632	2671	1548
633	2675	1544
634	2679	1539
635	2682	1535
636	2686	1530
637	2689	1526
638	2693	1521
639	2696	1517
640	2700	1512
641	2703	1507
642	2707	1503
643	2711	1498
644	2715	1494
645	2719	1490
646	2723	1485
647	2727	1481
648	2730	1476
649	2734	1472
650	2738	1467
651	2741	1463
652	2745	1458
653	2749	1454
654	2752	1449
655	2756	1445
656	2760	1441
657	2764	1436
658	2767	1432
659	2770	1427
660	2774	1423
661	2778	1418
662	2782	1414
663	2785	1409
664	2788	1404
665	2793	1400
666	2797	1396
667	2802	1392
668	2806	1388
669	2810	1384
670	2813	1379
671	2816	1374
672	2820	1370
673	2824	1366
674	2828	1361
675	2831	1357
676	2835	1352
677	2839	1348
678	2842	1343
679	2846	1339
680	2849	1334
681	2853	1330
682	2857	1326
683	2861	1321
684	2864	1317
685	2868	1312
686	2872	1308
687	2875	1304
688	2878	1299
689	2882	1294
690	2885	1290
691	2889	1286
692	2893	1281
693	2896	1277
694	2899	1272
695	2904	1268
696	2907	1263
697	2910	1259
698	2914	1254
699	2918	1250
700	2921	1246
701	2925	1241
702	2929	1237
703	2933	1233
704	2938	1229
705	2942	1225
706	2946	1221
707	2949	1216
708	2954	1212
709	2957	1208
710	2961	1203
711	2964	1199
712	2968	1194
713	2971	1190
714	2975	1186
715	2979	1181
716	2982	1177
717	2986	1173
718	2991	1168
719	2995	1165
720	3001	1161
721	3005	1157
722	3009	1152
723	3013	1148
724	3018	1144
725	3022	1140
726	3025	1136
727	3029	1131
728	3033	1127
729	3037	1123
730	3041	1119
731	3044	1114
732	3048	1110
733	3052	1106
734	3055	1101
735	3059	1097
736	3062	1092
737	3067	1088
738	3070	1084
739	3073	1079
740	3077	1075
741	3081	1071
742	3084	1067
743	3088	1062
744	3091	1058
745	3094	1053
746	3099	1049
747	3102	1045
748	3105	1040
749	3109	1036
750	3113	1032
751	3116	1027
752	3120	1023
753	3123	1019
754	3126	1014
755	3131	1010
756	3134	1006
757	3138	1001
758	3142	997
759	3146	993
760	3149	989
761	3153	984
762	3156	980
763	3160	976
764	3164	972
765	3167	967
766	3171	963
767	3174	959
768	3178	954
769	3182	950
770	3185	946
771	3191	942
772	3196	938
773	3214	938
774	3219	934
775	3223	930
776	3227	926
777	3230	921
778	3234	917
779	3237	913
780	3240	908
781	3244	904
782	3248	900
783	3252	896
784	3255	891
785	3259	887
786	3263	883
787	3266	878
788	3269	874
789	3273	870
790	3277	866
791	3281	861
792	3284	857
793	3287	853
794	3291	848
795	3295	844
796	3299	840
797	3302	836
798	3306	831
799	3310	827
800	3313	823
801	3317	818
802	3320	814
803	3324	810
804	3328	806
805	3331	801
806	3334	797
807	3337	793
808	3342	789
809	3345	784
810	3348	780
811	3352	776
812	3356	772
813	3360	767
814	3363	763
815	3366	759
816	3370	754
817	3374	750
818	3378	746
819	3381	742
820	3385	738
821	3389	733
822	3392	729
823	3395	725
824	3400	721
825	3405	717
826	3409	713
827	3414	709
828	3417	704
829	3421	700
830	3425	696
831	3428	692
832	3432	688
833	3435	683
834	3439	679
835	3443	675
836	3446	671
837	3450	667
838	3454	662
839	3457	658
840	3461	654
841	3464	650
842	3468	645
843	3472	641
844	3476	637
845	3479	633
846	3483	629
847	3487	625
848	3491	621
849	3495	616
850	3498	612
851	3502	608
852	3506	604
853	3509	599
854	3512	595
855	3516	591
856	3520	587
857	3524	583
858	3527	579
859	3530	574
860	3534	570
861	3538	566
862	3541	562
863	3545	558
864	3548	553
865	3552	549
866	3556	545
867	3559	541
868	3562	537
869	3567	533
870	3570	528
871	3574	524
872	3577	520
873	3581	516
874	3585	512
875	3588	508
876	3592	503
877	3596	499
878	3601	495
879	3606	491
880	3610	487
881	3613	483
882	3617	479
883	3621	475
884	3624	471
885	3628	466
886	3632	462
887	3636	458
888	3639	454
889	3643	450
890	3647	446
891	3650	442
892	3654	437
893	3657	433
894	3660	429
895	3664	425
896	3668	421
897	3671	417
898	3675	412
899	3679	408
900	3683	404
901	3687	400
902	3690	396
903	3694	392
904	3698	388
905	3701	384
906	3705	379
907	3708	375
908	3712	371
909	3716	367
910	3719	363
911	3723	359
912	3727	355
913	3730	351
914	3734	346
915	3737	342
916	3740	338
917	3744	334
918	3748	330
919	3751	326
920	3755	322
921	3758	317
922	3763	313
923	3766	309
924	3769	305
925	3773	301
926	3777	297
927	3781	293
928	3784	289
929	3787	285
930	3792	281
931	3796	277
932	3800	272
933	3804	268
934	3809	264
935	3813	260
936	3816	256
937	3819	252
938	3824	248
939	3828	244
940	3831	240
941	3834	236
942	3840	232
943	3845	228
944	3849	224
945	3852	219
946	3856	215
947	3860	211
948	3863	207
949	3867	203
950	3870	199
951	3874	195
952	3877	191
953	3881	187
954	3885	183
955	3889	179
956	3893	174
957	3897	170
958	3901	166
959	3905	162
960	3909	158
961	3912	154
962	3916	150
963	3921	146
964	3925	142
965	3928	138
966	3931	134
967	3935	130
968	3939	126
969	3942	121
970	3946	117
971	3949	113
972	3953	109
973	3957	105
974	3961	101
975	3965	97
976	3969	93
977	3973	89
978	3977	85
979	3980	81
980	3985	77
981	3990	73
982	3995	69
983	3999	65
984	4004	60
985	4008	56
986	4012	52
987	4016	48
988	4021	44
