iter	Passed	Remaining
405	7224	10569
406	7238	10546
407	7254	10526
408	7271	10507
409	7287	10487
410	7308	10473
411	7329	10460
412	7350	10447
413	7367	10427
414	7384	10408
415	7403	10393
416	7421	10375
417	7436	10354
418	7453	10335
419	7471	10317
420	7485	10294
421	7505	10280
422	7526	10267
423	7543	10248
424	7559	10227
425	7578	10210
426	7594	10191
427	7610	10171
428	7630	10155
429	7645	10134
430	7662	10115
431	7681	10099
432	7702	10085
433	7718	10066
434	7734	10046
435	7754	10030
436	7775	10016
437	7792	9999
438	7808	9978
439	7827	9962
440	7846	9945
441	7862	9925
442	7880	9907
443	7897	9889
444	7912	9868
445	7930	9851
446	7951	9836
447	7968	9818
448	7984	9797
449	8003	9781
450	8022	9765
451	8040	9748
452	8057	9729
453	8076	9713
454	8094	9695
455	8112	9677
456	8130	9660
457	8150	9645
458	8170	9629
459	8191	9616
460	8211	9601
461	8231	9585
462	8251	9570
463	8274	9558
464	8301	9551
465	8325	9539
466	8346	9526
467	8370	9515
468	8397	9507
469	8421	9496
470	8437	9476
471	8460	9464
472	8482	9451
473	8505	9438
474	8527	9425
475	8549	9412
476	8571	9398
477	8590	9381
478	8610	9364
479	8632	9351
480	8653	9337
481	8675	9323
482	8696	9308
483	8718	9294
484	8738	9279
485	8758	9262
486	8780	9249
487	8808	9241
488	8839	9237
489	8868	9230
490	8887	9213
491	8916	9206
492	8945	9200
493	8968	9185
494	8987	9168
495	9015	9160
496	9042	9151
497	9066	9138
498	9086	9123
499	9109	9109
500	9138	9101
501	9161	9088
502	9188	9079
503	9217	9071
504	9241	9058
505	9272	9052
506	9298	9041
507	9321	9027
508	9348	9017
509	9370	9003
510	9403	8999
511	9427	8985
512	9446	8967
513	9468	8953
514	9499	8945
515	9517	8926
516	9536	8908
517	9553	8889
518	9569	8868
519	9588	8850
520	9605	8831
521	9622	8810
522	9641	8793
523	9657	8772
524	9672	8751
525	9692	8733
526	9710	8715
527	9726	8695
528	9743	8675
529	9762	8657
530	9779	8637
531	9796	8618
532	9815	8600
533	9834	8581
534	9849	8560
535	9868	8543
536	9888	8525
537	9905	8506
538	9924	8488
539	9943	8469
540	9964	8454
541	9981	8434
542	9996	8413
543	10014	8394
544	10031	8375
545	10047	8354
546	10065	8335
547	10082	8316
548	10096	8293
549	10112	8274
550	10133	8257
551	10147	8236
552	10165	8216
